timestamp,open,close,high,low,volume,turnover
2023-08-12 02:59:12,29392.7,29384.9,29399.1,29379.7,18.99526176,558231.009108332
2023-08-12 01:59:28,29402.0,29392.7,29412.8,29392.6,33.79860567,993986.563349226
2023-08-12 00:59:44,29454.9,29402.0,29460.0,29401.9,26.04576621,766383.48132392
2023-08-12 00:00:00,29426.7,29454.8,29455.1,29407.8,21.90292776,644449.220680667
2023-08-11 23:00:16,29435.1,29426.6,29438.9,29408.2,17.88482566,526205.529381193
2023-08-11 22:00:32,29409.8,29435.1,29436.7,29406.6,21.14220477,622015.792584685
2023-08-11 21:00:48,29419.4,29409.7,29443.8,29408.2,35.86893878,1055531.718318787
2023-08-11 19:58:56,29398.2,29419.4,29426.0,29394.8,27.91608757,820906.627542167
2023-08-11 18:59:12,29376.9,29397.8,29409.8,29349.5,49.54070351,1455610.304324829
2023-08-11 17:59:28,29339.8,29376.9,29377.0,29332.0,40.41750396,1186388.705128762
2023-08-11 16:59:44,29360.0,29339.8,29395.5,29322.0,41.24573649,1210691.572196023
2023-08-11 16:00:00,29393.9,29360.0,29427.8,29252.3,154.23756986,4525057.845173621
2023-08-11 15:00:16,29496.4,29394.0,29520.0,29354.9,102.17087578,3005285.351539178
2023-08-11 14:00:32,29470.0,29496.4,29565.4,29462.6,139.2847359,4110634.660814984
2023-08-11 13:00:48,29423.2,29470.0,29470.0,29419.5,36.87868707,1085765.998193297
2023-08-11 12:01:04,29444.8,29423.2,29458.2,29400.2,56.1888497,1653885.45438589
2023-08-11 10:59:12,29394.7,29444.8,29444.8,29389.8,54.97422491,1616721.387984838
2023-08-11 09:59:28,29388.9,29394.7,29425.0,29354.5,69.33982572,2037714.025074376
2023-08-11 08:59:44,29415.8,29388.8,29415.8,29384.9,49.32601807,1450280.950422904
2023-08-11 08:00:00,29416.3,29415.7,29449.6,29408.0,64.65076147,1902810.951458709
2023-08-11 07:00:16,29463.4,29416.3,29485.6,29416.3,78.05981695,2298334.035157275
2023-08-11 06:00:32,29456.7,29463.4,29467.7,29430.7,53.61792163,1578757.830016617
2023-08-11 05:00:48,29417.2,29456.6,29456.7,29380.2,47.74005422,1404389.645225618
2023-08-11 03:58:56,29408.1,29417.2,29429.1,29406.0,24.52538587,721417.403138092
2023-08-11 02:59:12,29372.4,29408.1,29433.4,29354.1,34.68063116,1019807.745468948
2023-08-11 01:59:28,29453.1,29372.4,29453.1,29350.0,36.84486039,1083380.947701517
2023-08-11 00:59:44,29486.6,29453.0,29489.6,29447.0,20.12533481,593016.423776782
2023-08-11 00:00:00,29453.4,29486.5,29500.5,29452.1,34.23347842,1009065.664020345
2023-08-10 23:00:16,29466.2,29453.4,29469.0,29452.0,41.51125842,1222852.051459799
